Ühend;Lause_ID;Leitud ühendikandidaat;Komponendi seos;Komponendi kääne;Passiiv;Reegel;Lause tekst;Noomeni token;Verbi token
töö:Par tegema;aja_horisont2000_432;tegema tööd;obj;Par;ei;obj;Sikhid ei usu ka astroloogiat ega muid hämaraid asju, peavad tegema ausat tööd ja mitte sallima rassilist, usulist või soolist diskrimineerimist.;14;12
võimalus:obj andma;aja_horisont2000_573;annavad võimalusi;obj;Par;ei;obj;Teine suund seondub embrüonaalsete tüvirakkudega, viimased annavad väga palju uusi võimalusi.;12;8
katse:Par tegema;aja_horisont2000_584;katseid tehakse;obj;Par;jah;obj;Primaadid on ju meile tegelikult väga lähedased, ent katseid nendega paraku ikkagi tehakse.;10;14
katse:Par tegema;aja_horisont2000_588;teeb katseid;obj;Par;ei;obj;Inglismaal tegeleb sellega biotehnoloogiafirma Imutran, kes teeb katseid ka primaatidega ning on Euroopas sellel alal kõige kaugemale jõudnud.;9;8
katse:Par tegema;aja_horisont2000_637;teed katse;obj;Gen;ei;obj;Kui sa teed katse ja see rahuldab sinu hüpoteesi, pole enam aega järele mõtelda.;4;3
huvi:Par tundma;aja_horisont2000_717;tunne huvi;obj;Par;ei;obj;Mulle ei meeldi selline amerikaniseerumine, eriti tehnoloogilistel aladel, et igaüks teab kitsalt vaid mingit oma lõiku ning ei tunne maailma asjade vastu suurt huvi.;26;21
töö:Par tegema;aja_horisont2000_74;tööd teinud;obj;Par;ei;obj;Sel alal on märkimisväärset tööd teinud meie põhjanaabrid.;5;6
töö:Par tegema;aja_luup200009_118;tööd teha;obj;Par;ei;obj;Mina ei tahtnud niisama aega viita, mööda pidusid käia, mina tahtsin tööd teha. ”;14;15
rumalus:Par tegema;aja_luup200009_280;teha rumalusi;obj;Par;ei;obj;Raske on leida veel rumalamat tegevust kui üritada teha rumalusi üha paremini.;10;9
töö:Par tegema;aja_luup200009_294;tööd teha;obj;Par;ei;obj;Üks asi näikse selge olevat: kui mõnes riigis rahvas või väga suur osa rahvast enam ei oska, ei taha, ei viitsi, ei julge (häbeneb) tööd teha, siis pole sellel rahval mingit väljavaadet üha karmistuvas konkurentsis ellu jääda.;31;32
otsus:obj tegema;aja_luup200009_298;otsuseid teha;obj;Par;ei;obj;Kahjuks saavad häid otsuseid teha vaid asjatundlikud isikud.;4;5
töö:Par tegema;aja_luup200009_301;tööd teha;obj;Par;ei;obj;Selline ühiskond, kus on silmapaistvalt edukad vaid parasiteerivad struktuurid ning kus tööd teha oskaval ja tahtval inimesel ei ole võimalik oma töö eest saadud palgast ära elada, ei vääri kuigi suurt tunnustust ega sobi teistele eeskujuks.;13;14
asi:Par ajama;aja_luup200009_379;asja aetud;obj;Par;jah;obj;Eesti asja - näiteks ka Euroopa Liidu läbirääkimisi - on seni aetud riigiametnike tasemel.;2;12
karjäär:Par tegema;aja_luup200009_395;karjääri teha;obj;Par;ei;obj;Nüüd on probleem, et uutel pole eriti võimalust karjääri teha.;10;11
töö:Par tegema;aja_luup200009_44;tööd teha;obj;Par;ei;obj;Pea kõik 5. oktoobril 1949 kilinad-kulinad rinda saanud rabasid tööd teha Udeva mõisa vanas laudas.;10;11
otsus:obj vastu võtma;aja_luup200009_473;vastu võtma otsuse;obj | compound:prt;Gen | ;ei;obj;Pärast seda, kui immigrantide suhtes liberaalse Shveitsi sisepoliitilised pinged sundisid valitsust vastu võtma otsuse, et kõik passita võõramaalased peavad mai lõpuks riigist lahkuma, on pooled juba läinud.;15;14
luba:obj andma;aja_luup200009_482;anna luba;obj;Par;ei;obj;Bekajd käiks meelsasti tööl, kuid välismaalaste passid ei anna neile selleks luba.;13;10
au_tasu:obj andma;aja_luup200009_52;anti autasud;obj;Nom;jah;obj;Praeguses presidendilossis Kadriorus anti autasud üle ja tehti suur pidu.;5;4
piinlikkus:Par tundma;aja_luup200009_551;tunnevad piinlikkust;obj;Par;ei;obj;Praegu tunnevad mõned Hollandi mereväe juhtivad tegelased piinlikkust ühe pikantse vahejuhtumi ilmsikstuleku pärast, mille kohta saadetakse neile kogu maailmast järelepärimisi.;8;2
töö:Par tegema;aja_luup200009_56;Tööd teha;obj;Par;ei;obj;Tööd tuli kõigil teha.;1;4
huvi:Par tundma;aja_luup200009_562;tunne huvi;obj;Par;ei;obj;Laisk lääs ei tunne asjade vastu huvi, ei vaata Vene küsimuses kaugele ette.;7;4
karjäär:Par tegema;aja_luup200009_660;tegi karjääri;obj;Par;ei;obj;Putin tegi üsnagi suurt karjääri.;5;2
võimalus:obj andma;aja_luup200009_713;annaks võimaluse;obj;Gen;ei;obj;Samuti annaks see võimaluse konsultatsioonide turustamiseks, kvalifitseeritud tööjõu kasutamiseks ja ümberõppeks, kohalike mõttetankide ja strateegide parimaks realiseerimiseks.;4;2
võimalus:obj andma;aja_luup200009_719;annaks võimaluse;obj;Gen;ei;obj;Agentuur töötaks vastavalt nõudlusele - õige ajastus ja teenuste pakkumine annaks nii töövõtjale kui ka riigile suurema lisaväärtuse saamise võimaluse.;20;11
töö:Par tegema;aja_luup200009_76;Tegi tööd;obj;Par;ei;obj;Tegi igapäevast tööd.;3;1
õppe_tund:obj andma;aja_luup200009_803;annavad õppetunni;obj;Gen;ei;obj;Sündmused USA börsil annavad eestlastele hea õppetunni.;7;4
töö:Par tegema;aja_luup200009_81;Tegin tööd;obj;Par;ei;obj;“ Tegin oma igapäevast tööd. ”;5;2
mure:Par tegema;aja_luup200009_837;muret tegema;obj;Par;ei;obj;Nagu hiljem selgus, olid ameeriklased venelaste allveelaevastikku tol ajal kõvasti üle hinnanud, aga siiski hakkas muret tegema, et venelaste Akula 2 oli juba vaiksem kui ameeriklaste Los Angeles-klassi allveelaev.;18;19
müra:Par tegema;aja_luup200009_843;teeb müra;obj;Par;ei;obj;Seawolfi loojate tulemused olid ootuspärased - ta on palju kiirem ja ka parema manööverdusvõimega kui Los Angeles ja mis kõige tähtsam - Seawolf teeb täiskäigul sõites sama palju müra kui Los Angeles-klassi allveelaev kai ääres seistes!;29;24
töö:Par tegema;aja_luup200009_90;Tööd teha;obj;Par;ei;obj;“ Tööd tuli hirmsasti teha, aga eks seda tegid kõik, ” ei taha Leida Vinkel end esile tõsta.;2;5
töö:Par tegema;aja_luup200009_927;tööd teinud;obj;Par;ei;obj;Seda tööd on ta teinud Kirjandusmuuseumi rahvaluulearhiivis ja ekspeditsioonidel alates ülikooli ajast Tartus, mil tema kursuse- ja diplomitööd juhendasid legendaarsed rahvaluuleteadlased Udo Kolk ja Eduard Laugaste.;2;5
huvi:Par tundma;aja_luup200009_930;tundnud huvi;obj;Par;ei;obj;Eha on tundnud sügavamat huvi ka teiste rahvaste folkloori ja mütoloogia vastu, kuid tõsiselt uurida saab tema arvates üksnes selle rahva pärimust, kelle keelt sa valdad.;5;3
võimalus:obj andma;aja_luup200106_1125;võimaluse annab;obj;Gen;ei;obj;Päästa saab seda, kes ise võimaluse annab ja seda soovib.;7;8
võimalus:obj andma;aja_luup200106_1138;antakse võimalus;obj;Nom;jah;obj;See on nõiaring: kuritegu põhjustab pahameele ja inimestele siltide külge riputamise, see omakorda vähendab tõenäosust, et antakse võimalus ennast tõestada, mis omakorda viib uue, vahel ka hullema teoni, mis omakorda põhjustab uue ja suurema pahameele ning tõrjumise ...;21;20
luba:obj andma;aja_luup200106_1177;andis loa;obj;Gen;ei;obj;Seejärel andis tänulik kuningas Gregoriusele loa kogu rahvas ristiusku pöörata.;6;2
tõuge:obj andma;aja_luup200106_1180;andis tõuke;obj;Gen;ei;obj;Ristiusku pöördumine andis tugeva tõuke kultuuri arengule.;5;3
igatsus:Par tundma;aja_luup200106_1208;Tunnete igatsust;obj;Par;ei;obj;Tunnete igatsust hea nõukogude aja järele?;2;1
sõda:Par pidama;aja_luup200106_1213;peavad sõdu;obj;Par;ei;obj;Nagu vahel pärisriigid, peavad ka mikronatsioonid aeg-ajalt sõdu.;9;5
asi:Par ajama;aja_luup200106_1249;ajama asju;obj;Par;ei;obj;Oli selge, et neis maades hakatakse varsti ajama asju emakeeles.;10;9
võimalus:obj andma;aja_luup200106_1256;andsid võimaluse;obj;Gen;ei;obj;Need andsid võimaluse lähemalt uurida (taas)vabanevate maade üleminekuperioodi.;3;2
läbi_rääkimine:Par pidama;aja_luup200106_1279;Peame läbirääkimisi;obj;Par;ei;obj;Peame läbirääkimisi Tallinna Pedagoogikaülikooliga.;2;1
takistus:Par tegema;aja_luup200106_1300;teinudki takistusi;obj;Par;ei;obj;Soveedid, kes kahtlustasid, et olen KGB poolt värvatud ja lisaks veel kõrges auastmes, ei teinudki ületamatuid takistusi, kui avaldasin soovi külastada Eestit ja Karjalat.;20;18
korraldus:obj andma;aja_luup200106_1370;andis korralduse;obj;Gen;ei;obj;Pärast akna raiumist Euroopasse ehk Peterburi rajamist Nevanlinna kohale 1703. aastal andis ta oma kaupmeestele korralduse kaubelda ainult Peterburis.;16;12
tähele_panek:Par tegema;aja_luup200106_1447;tähelepanekud tehti;obj;Nom;jah;obj;Näiteks esimesed tähelepanekud Unverrichti-Lundborgi haigusest tehti 19. sajandi lõpul H. Unverrichti poolt just Eestis.;3;6
lahing:obj pidama;aja_luup200106_1539;pidas lahingu;obj;Gen;ei;obj;Xerox pidas õnnestunult lahingu sõna “ xerox ” kasutamise vastu koopia sünonüümina kirjasõnas.;4;2
nõus_olek:obj andma;aja_luup200106_1549;nõusoleku andnud;obj;Gen;ei;obj;Teine asi, kui oleme ise selleks nõusoleku andnud.;8;9
nõus_olek:obj andma;aja_luup200106_1552;nõusoleku andma;obj;Gen;ei;obj;Neil on ühine seisukoht: kustutamise võimaluse andmisest on vähe ning reklaami saamiseks peab inimene eelnevalt oma nõusoleku andma.;18;19
huvi:Par tundma;aja_luup200106_196;tunne huvi;obj;Par;ei;obj;Üheksa eestlast kümnest ei tunne huvi, millist tulu nende säästud teenivad.;6;5
valik:obj tegema;aja_luup200106_266;teha valik;obj;Nom;ei;obj;Kuidas teha valik?;3;2
läbi_rääkimine:Par pidama;aja_luup200106_368;läbirääkimisi peetakse;obj;Par;jah;obj;Suur osa euroskeptitsismist on tekkinud just sellest, et nähakse, kuidas neid läbirääkimisi peetakse, aga samal ajal käivad mingid euroläbirääkimised.;14;15
võimalus:obj andma;aja_luup200106_478;annaks võimaluse;obj;Gen;ei;obj;See annaks ELile võimaluse, mida nad pikisilmi ootavad.;4;2
liug:Par laskma;aja_luup200106_495;lasevad liugu;obj;Par;ei;obj;Kreeklased, itaallased ja hispaanlased lasevad Saksa ja Hollandi tugeva majanduse najal lihtsalt liugu.;14;6
kulutus:Par tegema;aja_luup200106_551;teha kulutusi;obj;Par;ei;obj;Laanjärve meelest oleks lähema viie aasta jooksul mõttekam teha kulutusi hoopis kinnipidamiskohtadele.;10;9
koos_töö:Par tegema;aja_luup200106_643;tegime koostööd;obj;Par;ei;obj;Kõik me, nii Mart Niklus, Jüri Kukk, Erik Udam, mina kui paljud teised, tegime tihedat koostööd Vene dissidentidega, nende seas Andrei Sahharoviga.;21;19
vastus:Par andma;aja_luup200106_653;Vastuse annab;obj;Gen;ei;obj;Vastuse neile küsimustele annab Tartu Ülikooli politoloogiaõppejõu Jüri Ruusi Anton Sheeniga kahasse valminud uurimistöö “ Režiimi vahetus - kas eliidi järjepidevus? ”.;1;4
huvi:Par tundma;aja_luup200106_710;tunne huvi;obj;Par;ei;obj;Neljandaks, erasfääris ei tunne suurt keegi huvi poliitilise mineviku vastu, küll on see aga möödapääsmatu poliitikas ja riigiametis.;8;5
otsus:obj tegema;aja_luup200106_799;tegema otsuseid;obj;Par;ei;obj;Eraülikoolid on juurde toonud konkurentsi ja sundinud avalik-õiguslike kõrgkoole tegema otsuseid kiiremini ja paindlikumalt, ennast sisemiselt reformima.;11;10
otsus:obj vastu võtma;aja_luup200106_852;otsused võetakse vastu;obj | compound:prt;Nom | ;jah;obj;Pankadega toimuvad otsused võetakse vastu väljaspool Eestit.;3;4
mure:Par tegema;aja_luup200106_914;teeb muret;obj;Par;ei;obj;Säärane suhtumine teeb meile tõsist muret ja selline seisukoht on täiesti vale.;6;3
asi:Par ajama;aja_luup200202_139;asju ajada;obj;Par;ei;obj;“ Tarkade inimestega, kui nad pole jonnakad, saab alati asju ajada.;12;13
uhkus:Par tundma;aja_luup200202_198;uhkust tunda;obj;Par;ei;obj;Üksnes tehnilise ja haridusliku valmisoleku poolest võib Eesti ühiskond uhkust tunda, märgib raport.;10;11
panus:obj tegema;aja_luup200202_223;teha panus;obj;Nom;ei;obj;Tänapäeva maailmas tasub edule lootes teha panus just viimasele.;7;6
järeldus:obj tegema;aja_luup200202_224;järeldusi teha;obj;Par;ei;obj;Pole teada, kas Euroopa maade liidrid kavatsevad tulevikuks valmisolekuindeksist ka mingeid järeldusi teha.;13;14
valik:obj tegema;aja_luup200202_246;tegema valiku;obj;Gen;ei;obj;Tehniliselt on see muidugi tülikas - inimene peab tegema valiku umbes paari tuhande kandidaadi seast.;10;9
töö:Par tegema;aja_luup200202_359;teha tööd;obj;Par;ei;obj;See on areng ja protsess, kus liidritel on suur roll, kuid streigi korraldamine ja selles kaasalöömise on sügavalt isiklik otsus - vabadus pigem mitte teha tööd kui teha seda tingimustel, mida tööandja mulle pakub.;28;27
töö:Par tegema;aja_luup200202_394;teevad töö;obj;Gen;ei;obj;Robotid teevad ära füüsilise töö, arvutitarkvara vahetab välja pintsaklipslased.;5;2
rõõm:Par tundma;aja_luup200202_423;tunda rõõmu;obj;Par;ei;obj;Nõnda esitab ta igaühele väljakutse tunda oma individuaalsusest rõõmu ja luua väärtusi.;9;6
tunnistus:Par andma;aja_luup200202_479;annavad tunnistust;obj;Par;ei;obj;Nazarbajev ei tunne puudust ka suurejoonelistest visioonidest: pealinna üleviimine Almatõst stepilinna Astanasse või riiklik arengustrateegia “ Kasahstan 2030 ”, mis peab lähikümnenditega riigi viima arenenud maade sekka ja millest annavad tunnistust linnadesse üles seatud hiigelplakatid, on vaid mõned näited.;33;32
pulm:obj tegema;aja_luup200202_506;tehakse pulmad;obj;Nom;jah;obj;Ning tõenäoliselt on ka vaesuses elaval perel kõrvale pandud kuus või seitse tuhat dollarit, mille eest tehakse lastele uhked pulmad.;21;18
nõus_olek:obj andma;aja_luup200202_583;andma nõusoleku;obj;Gen;ei;obj;Ka pidi Maxima andma abielulepingus nõusoleku, et kui abielu tulevase Hollandi kuningaga peaks mingil põhjusel purunema, siis ei saa ta erinevalt teistest emadest nõuda isegi kohtu kaudu õigust oma lastele, kes on tulevased Hollandi printsid-printsessid (troonipärijad).;6;4
nõus_olek:obj andma;aja_luup200202_584;andis nõusoleku;obj;Gen;ei;obj;Tulevase Euroopa usulise tasakaalu huvides andis katoliiklane Maxima veel ka kirjaliku nõusoleku, et oma abikaasa surma korral ei asu ta ise Hollandi troonile (ega asu oma laste alaealisuse korral regendiks) ja annab selle õiguse oma kalvinistideks kasvatatud lastele.;12;6
nõus_olek:obj andma;aja_luup200202_630;annab nõusoleku;obj;Gen;ei;obj;Nn saksa mudeli korral tohib terviseandmeid saata registrisse juhul, kui haigestunu annab selleks kirjaliku nõusoleku.;16;13
panus:obj tegema;aja_luup200202_640;teha panus;obj;Nom;ei;obj;"Kui nendes lahjendatud andmekogudes registreeritavate juhtude analüüs pakuks riigile tõsist huvi, tuleks teha otsustav panus andmekoosseisu muutmisele; kui mitte, saaks niigi kõhnukesed rahavood ümber suunata vähemalt ühe järjekorras ootava tõelise registri - olgu selleks siis kaasasündinud väärarendite, südameinfarkti-, trauma- või diabeediregistri - loomisele.";16;14
investeering:Par tegema;aja_luup200202_703;tegi investeeringud;obj;Nom;ei;obj;Väliskapital tegi vajalikud investeeringud ning tagas teadmised ja konkurentsi.;4;2
laul:Par lööma;aja_luup200202_74;lööb laulu;obj;Par;ei;obj;Teadsid, et muidu täitsa korralik eesti inimene, aga samal ajal lööb karjääri huvides niisugust laulu, et ohhohoo. ”;17;13
kaup:Par tegema;aja_luup200202_795;teha kaubad;obj;Nom;ei;obj;Ulatusliku rahaliste toetuste süsteemi juurutamise asemel tuleks hädasolijatele kättesaadavaks teha konkreetsed kaubad ja teenused, rõhutab Maailmapank.;12;10
laen:Par võtma;aja_luup200202_822;võtma laenu;obj;Par;ei;obj;Eriti kannatavad selle all väikese sissetulekuga inimesed, kes pahatihti peavad ravi eest maksmiseks pantima või müüma oma vara või võtma laenu.;22;21
panus:obj tegema;aja_luup200202_836;teevad panuse;obj;Gen;ei;obj;Ettevõtted, kellel on siiski õnnestunud turule tulla, teevad panuse pigem eritingimuste, seadusaukude ja soodustuste otsimisele selmet arendada vaba ettevõtlust.;11;10
töö:Par tegema;aja_luup200202_891;teevad tööd;obj;Par;ei;obj;Selle nimel, et see kõik reaalseks muutuks, teevad tööd USA kaitseministeeriumi sõjaliseks kasutuseks mõeldud uue tehnika arendamise keskuse DARPA (Defense Advanced Research Projects Agency) ehk siis Riigikaitse Progressiivuuringuprojektide Agentuuri teadlased.;11;10
järeldus:obj tegema;aja_luup200202_924;järeldusi teha;obj;Par;ei;obj;Nad ei oska järeldusi teha ega olukorda adekvaatselt hinnata.;4;5
eel_töö:Par tegema;aja_luup200202_945;teeb eeltöö;obj;Gen;ei;obj;Sageli on nii, et DARPA teeb ainult eeltöö ja mõni muu firma arendab idee valmistooteni.;9;7
teave:Par andma;aja_ml200247_1025;anda teavet;obj;Par;ei;obj;Teisalt, kuna Eestis on levinud nii väärarusaamu kui ka põhjendamatuid ootusi ELi põllumajandus- ja maaelumeetmete kasutamise kohta, on korraldajad seadnud eesmärgiks anda osavõtjaile teavet ka põllumajandusega seotud strukturaalfondidest, eriti nendest, mis aitavad kaasa maapiirkonna arengule.;26;24
töö:Par tegema;aja_ml200247_1038;tööd tegi;obj;Par;ei;obj;Raha tuli muinsuskaitseameti kaudu Eesti riigilt, tööd tegi osaühing Frantsiskus.;8;9
otsus:obj vastu võtma;aja_ml200247_1048;võtab vastu otsuse;obj | compound:prt;Gen | ;ei;obj;Kuna Tartu vangla kinnipeetavate arv ületas esmaspäeval 500 piiri, teatas Tartu linnapea Andrus Ansip Postimehele, et linnavalitsus võtab vastu otsuse tühistada vangla kasutusluba.;22;20
võimalus:obj andma;aja_ml200247_1145;anda võimalus;obj;Nom;ei;obj;Kui asja kas või puhtmajanduslikult võtta, siis kumb on otstarbekam: kas maksta vaesematele maainimestele näljapajukit sotsiaaltoetuste näol või anda neile võimalus ise toime tulla.;23;21
ette_panek:obj tegema;aja_ml200247_1272;tehakse ettepanek;obj;Nom;jah;obj;Olen nõus oma vibupüssi peale kihla vedama, et kümne aasta pärast näeb Riigikogu seaduseelnõu, millega tehakse ettepanek kasutusvaldusse antud maad igaveseks ja lõplikult senistele valdajatele anda.;19;18
võitlus:Par pidama;aja_ml200247_1310;peavad võitlust;obj;Par;ei;obj;Suured tootjad, hiidkompaniid peavad ikka agressiivsemalt võitlust turgude ja tarbijate pärast ning ei põlga kasutada inimeste mõjutamiseks rafineeritult alatuid vahendeid.;8;5
luba:obj andma;aja_ml200247_1330;antakse luba;obj;Nom;jah;obj;Kui ühele tehakse keskkonnaministeeriumis erand ja antakse luba randa ehitada, siis on õigus ka teisel sama erandit tahta.;8;7
koos_töö:Par tegema;aja_ml200247_1341;teha koostööd;obj;Par;ei;obj;"""Tahame teha eri organisatsioonidega rohkem koostööd,"" nentis Kaur.";7;3
takistus:Par tegema;aja_ml200247_1457;teha takistusi;obj;Par;ei;obj;Kaaskirjas oli öeldud, et tuleb võtta arvesse, et vanaautoharrastus on rahvusvaheliselt aktsepteeritud tegevus, millesse palus mees vastavalt suhtuda, ja mitte teha takistusi inimeste omavaheliseks läbikäimiseks jne.;26;25
töö:Par tegema;aja_ml200247_147;tööd teha;obj;Par;ei;obj;Püüan järjepidevalt enda kallal tööd teha.;5;6
töö:Par tegema;aja_ml200247_150;tööd teha;obj;Nom;ei;obj;Ebaprofessionaalne suhtumine: huvi puudus muusika vastu, üldine vaimulõtvus - kui inimesed, kellega tuleb tööd teha, silmanähtavalt ei armasta ega naudi oma tööd.;17;18
võimalus:obj andma;aja_ml200247_1541;andis võimaluse;obj;Gen;ei;obj;Ehk andis see algusest saadik võimaluse põgeneda argipäevast teistsugusesse, paremasse maailma.;6;2
rõõm:Par tundma;aja_ml200247_1572;tunneb rõõmu;obj;Par;ei;obj;Nüüd on Gerda Eestis tagasi, elab Haapsalus ja tunneb rõõmu sellest, et oma kodu - oma maja - on valmimas.;11;10
võitlus:Par pidama;aja_ml200247_1582;võitlust pidasid;obj;Par;ei;obj;Ka siis, kui arstid tema tuberkuloosiga võitlust pidasid, keetis ta maateesid nende ravile lisaks.;8;9
mure:Par tegema;aja_ml200247_1604;teeb muret;obj;Par;ei;obj;Pool sajandit maad mõõtnud Tammele teeb muret, et nüüdisajal ei ole maamõõtjatel enam vajalikku täpsust, nii otseses kui ka kaudses mõttes.;7;6
töö:Par tegema;aja_ml200247_18;tööd teevad;obj;Par;ei;obj;Küsimus piirikoerte vajalikkusest ja sellest, miks nad seda tööd teevad, pani nii mõnegi koerajuhi sügavalt mõtlema.;10;11
amet:Par pidama;aja_ml200247_1823;ametit pidanud;obj;Par;ei;obj;Mul ei sobi vastata, sest olen 12 aastat seda ametit pidanud.;11;12
lubadus:obj andma;aja_ml200247_1846;Andsin lubaduse;obj;Gen;ei;obj;Andsin endale siis lubaduse, et mitte kunagi mitte ühtegi seepi.;4;1
töö:Par tegema;aja_ml200247_188;tööd teha;obj;Par;ei;obj;See tähendab, et tööd tuleb teha rohkem, sest tulemus tuleb raskemini kätte - materjal osutab suuremat vastupanu.;5;7
iste:Par võtma;aja_ml200247_1935;võtavad istet;obj;Par;ei;obj;Lõpuks võtavad Rüütel ja Klas klaveri taga istet ja laulavad, nende kapten Urmas Lattikas mängib klaverit.;8;2
töö:Par tegema;aja_ml200247_2122;tööd tegema;obj;Par;ei;obj;Õpilane on ju põhikooli lõpetamisel alles 15-16 aastat vana ja kui sel ajal tuleb ära otsustada, millist tööd hiljem tegema hakata, siis pole see just lihtne.;19;21
koos_töö:Par tegema;aja_ml200247_2150;teete koostööd;obj;Par;ei;obj;Kellega või milliste organisatsioonidega teete koostööd või peate koostööd vajalikuks (näiteks ettevõtjatega vms)?;6;5
koos_töö:Par tegema;aja_ml200247_2151;Teeme koostööd;obj;Par;ei;obj;Teeme koostööd paljudega.;2;1
võimalus:obj andma;aja_ml200247_2196;annab võimalust;conj;Par;ei;conj->obj;Õpetajate meelest annab see enesekindlust, esinemisoskust ja võimalust aina juurde õppida.;9;3
ette_valmistus:obj tegema;aja_ml200247_220;ettevalmistusi teha;obj;Par;ei;obj;Prints Charles huvitus juba üksikasjadest, kuidas me oleme suutnud nii Euroopa Liidu kui NATO suunal ettevalmistusi teha.;17;18
töö:Par tegema;aja_ml200247_2212;tööd teha;obj;Par;ei;obj;Kõik see kokku tähendab tudengile, et ta ei pea kohe hakkama otsima võimalusi kooli kõrvalt tööd teha enda äraelatamiseks, vaid võib end pühendada õppimisele.;17;18
takistus:Par tegema;aja_ml200247_2236;takistusi teinud;obj;Par;ei;obj;Keegi mingeid takistusi ei teinud, pigem õhutasid kõik tagant ning lasksid tüdrukul endal otsustada ja saadud kogemustest õppida.;3;5
rõõm:Par tundma;aja_ml200247_2264;tuntakse rõõmu;obj;Par;jah;obj;Kodukandi Liikumine ühendab aktiivsemaid, n-ö sädeinimesi ja külasid, kus tuntakse rõõmu koostegemisest, õppimisest, enese arendamisest ja uute kogemuste saamisest.;13;12
asi:Par ajama;aja_ml200247_2297;ajab asju;obj;Par;ei;obj;Nüüd vaadatakse aga selle pilguga, kas mehest võiks kasu olla, kas ta seisab kohalike inimeste eest või käib Tallinnas tööl ja ajab oma asju.;26;24
võimalus:obj andma;aja_ml200247_2342;annavad võimaluse;obj;Gen;ei;obj;Väikesed projektisummad annavad võimaluse midagi teha, kogeda ja õppida, sellelt pinnalt on võimalik edasi minna ja lõpuks kas või oma firma asutada.;4;3
loeng:obj pidama;aja_ml200247_245;pidasin loenguid;obj;Par;ei;obj;Kuna ma pidasin Oxfordi ülikoolis 1993. aastal loenguid mitmes kolledžis, olen ülikooliga juba teatud määral tuttav.;8;3
loeng:obj pidama;aja_ml200247_247;Pidasin loengu;obj;Gen;ei;obj;Pidasin loengu ühiskonna väärtushinnangutest, Euroopa traditsioonidest ja kultuurist.;2;1
peatus:Gen tegema;aja_ml200247_282;tegime peatuse;obj;Gen;ei;obj;Winston Churchilli kuju ees tegime väikese peatuse.;7;5
töö:Par tegema;aja_ml200247_29;töö teinud;obj;Gen;ei;obj;Ta teab, et kui on oma töö hästi ära teinud, ootab teda tubli kõhutäis ja koerajuhi kiitus.;8;11
huvi:Par tundma;aja_ml200247_300;tunneb huvi;obj;Par;ei;obj;"""Ja väga rõõmustav oli kuulda, et lordkantsler tunneb suurt huvi Eesti vastu, ka avaldas ta soovi Eestimaad külastada.""";12;10
koos_töö:Par tegema;aja_ml200247_31;teevad koostööd;obj;Par;ei;obj;""" Nad on piiritööks parimad, "" selgitab Neeme kooli õppejaoskonna ülem Jüri Pajusoo, "" sest teevad meeleldi inimestega koostööd ja on heade tööomadustega.";21;18
töö:Par tegema;aja_ml200247_338;teeb tööd;obj;Par;ei;obj;Ka professor Lembit Nei kiidab tutor'ite süsteemi, kus juhendaja teeb ühe-kahe tudengiga väga intensiivselt tööd otsekui eraõpetaja.;16;11
töö:Par tegema;aja_ml200247_340;teha tööd;obj;Par;ei;obj;""" Siin on kõik üles ehitatud selle peale, et tuleb teha hästi palju ja intensiivselt tööd.";17;12
ette_panek:obj tegema;aja_ml200247_343;ettepaneku tegi;obj;Gen;ei;obj;"""No ma ei tea,"" keeldus proua suursaadik kommenteerimast, kui just sellekohase ettepaneku tegi St Johni kolledži president Michael Scholar Eesti presidendile.";16;17
töö:Par tegema;aja_ml200247_444;tööd teinud;obj;Par;ei;obj;"""Olen oma tööd teinud piisavalt hästi ja kulutanud palju energiat tehnoloogia ülesehitamiseks, seepärast oli kandideerimisotsus minu jaoks väga raske,"" ütles Karis.";4;5
töö:Par tegema;aja_ml200247_506;teinud töö;obj;Gen;ei;obj;Ei saa eitada aga fakti, et aastad on teinud oma töö.;12;10
võitlus:Par pidama;aja_ml200247_539;pidada võitlust;obj;Par;ei;obj;Kas tuli pidada suurt võitlust, et sõjaeelset saatkonna hoonet kätte saada?;5;3
abi:Par andma;aja_ml200247_588;abi anda;obj;Par;ei;obj;On vaja olla usaldusväärne partner, kui vaja, abi anda.;10;11
koos_töö:Par tegema;aja_ml200247_656;teevad koostööd;obj;Nom;ei;obj;Osutatakse Baieri firmadele, kes teevad koostööd Tšehhiga või jälle Poola ja Mecklenburg-Vorpommerni vahelistele ärisidemetele.;7;6
algus:Par tegema;aja_ml200247_7;algus tehti;obj;Nom;jah;obj;Uus algus tehti pärast pikka pausi 1992. a Kuressaare õppekeskuses, kus suurt nõu ja abi osutasid Venemaa piirivalvekooli esindajad.;2;3
abi:Par osutama;aja_ml200247_7;abi osutasid;conj;Par;ei;conj->obj;Uus algus tehti pärast pikka pausi 1992. a Kuressaare õppekeskuses, kus suurt nõu ja abi osutasid Venemaa piirivalvekooli esindajad.;16;17
ette_panek:obj tegema;aja_ml200247_784;Tegime ettepaneku;obj;Gen;ei;obj;"Tegime juba siis ministeeriumile ettepaneku, et riik maksaks 30 sendi ulatuses piimahinna tootjale kinni, "" räägib Murakas.";5;1
ette_panek:obj tegema;aja_ml200247_793;teeb ettepaneku;obj;Gen;ei;obj;Peaminister Siim Kallas kinnitab Äripäevale, et kui põllumajandusminister teeb analüüsi tulemustel ettepaneku alustada piima riiklikku kokkuostu või toetada konkreetseid ettevõtteid, siis peaministri toetust need ettepanekud ei saa.;13;10
